word,credit,website,note
friend,calchoo,https://kamical.itch.io/,magnum opus
slop,calchoo,https://kamical.itch.io/,magnum opus
orange,calchoo,https://kamical.itch.io/,magnum opus
giant,calchoo,https://kamical.itch.io/,magnum opus
rock,calchoo,https://kamical.itch.io/,magnum opus
boulder,calchoo,https://kamical.itch.io/,magnum opus
cliff,calchoo,https://kamical.itch.io/,magnum opus
notes,calchoo,https://kamical.itch.io/,magnum opus
pills,calchoo,https://kamical.itch.io/,magnum opus
carbon,calchoo,https://kamical.itch.io/,magnum opus
flouride,calchoo,https://kamical.itch.io/,magnum opus
refrigerant,calchoo,https://kamical.itch.io/,magnum opus
chemical,calchoo,https://kamical.itch.io/,magnum opus
test,calchoo,https://kamical.itch.io/,magnum opus
tube,calchoo,https://kamical.itch.io/,magnum opus
graduated,calchoo,https://kamical.itch.io/,magnum opus
cylinder,calchoo,https://kamical.itch.io/,magnum opus
lip,calchoo,https://kamical.itch.io/,magnum opus
balm,calchoo,https://kamical.itch.io/,magnum opus
dumpling,calchoo,https://kamical.itch.io/,magnum opus
noodle,calchoo,https://kamical.itch.io/,magnum opus
soup,calchoo,https://kamical.itch.io/,magnum opus
wonton,calchoo,https://kamical.itch.io/,magnum opus
ham,calchoo,https://kamical.itch.io/,magnum opus
corn,calchoo,https://kamical.itch.io/,magnum opus
egg,calchoo,https://kamical.itch.io/,magnum opus
tomato,calchoo,https://kamical.itch.io/,magnum opus
salt,calchoo,https://kamical.itch.io/,magnum opus
pepper,calchoo,https://kamical.itch.io/,magnum opus
cajun,calchoo,https://kamical.itch.io/,magnum opus
cumin,calchoo,https://kamical.itch.io/,magnum opus
paprika,calchoo,https://kamical.itch.io/,magnum opus
garlic,calchoo,https://kamical.itch.io/,magnum opus
cilantro,calchoo,https://kamical.itch.io/,magnum opus
rocket,calchoo,https://kamical.itch.io/,magnum opus
parsley,calchoo,https://kamical.itch.io/,magnum opus
fidget,calchoo,https://kamical.itch.io/,magnum opus
ring,calchoo,https://kamical.itch.io/,magnum opus
toy,calchoo,https://kamical.itch.io/,magnum opus
adhesive,calchoo,https://kamical.itch.io/,magnum opus
poster,calchoo,https://kamical.itch.io/,magnum opus
tape,calchoo,https://kamical.itch.io/,magnum opus
glue,calchoo,https://kamical.itch.io/,magnum opus
stick,calchoo,https://kamical.itch.io/,magnum opus
ball,calchoo,https://kamical.itch.io/,magnum opus
man,calchoo,https://kamical.itch.io/,magnum opus
woman,calchoo,https://kamical.itch.io/,magnum opus
binary,calchoo,https://kamical.itch.io/,magnum opus
gay,calchoo,https://kamical.itch.io/,magnum opus
lesbian,calchoo,https://kamical.itch.io/,magnum opus
homosexual,calchoo,https://kamical.itch.io/,magnum opus
asexual,calchoo,https://kamical.itch.io/,magnum opus
single,calchoo,https://kamical.itch.io/,magnum opus
mingle,calchoo,https://kamical.itch.io/,magnum opus
date,calchoo,https://kamical.itch.io/,magnum opus
hand,calchoo,https://kamical.itch.io/,magnum opus
sanitize,calchoo,https://kamical.itch.io/,magnum opus
cream,calchoo,https://kamical.itch.io/,magnum opus
ice,calchoo,https://kamical.itch.io/,magnum opus
cube,calchoo,https://kamical.itch.io/,magnum opus
dodecahedron,calchoo,https://kamical.itch.io/,magnum opus
apeirogon,calchoo,https://kamical.itch.io/,magnum opus
engineer,calchoo,https://kamical.itch.io/,magnum opus
water,calchoo,https://kamical.itch.io/,magnum opus
beer,calchoo,https://kamical.itch.io/,magnum opus
sake,calchoo,https://kamical.itch.io/,magnum opus
soju,calchoo,https://kamical.itch.io/,magnum opus
wine,calchoo,https://kamical.itch.io/,magnum opus
vodka,calchoo,https://kamical.itch.io/,magnum opus
whiskey,calchoo,https://kamical.itch.io/,magnum opus
money,calchoo,https://kamical.itch.io/,magnum opus
coin,calchoo,https://kamical.itch.io/,magnum opus
dollar,calchoo,https://kamical.itch.io/,magnum opus
wallet,calchoo,https://kamical.itch.io/,magnum opus
card,calchoo,https://kamical.itch.io/,magnum opus
jar,calchoo,https://kamical.itch.io/,magnum opus
butt,calchoo,https://kamical.itch.io/,magnum opus
leg,calchoo,https://kamical.itch.io/,magnum opus
foot,calchoo,https://kamical.itch.io/,magnum opus
shoe,calchoo,https://kamical.itch.io/,magnum opus
lace,calchoo,https://kamical.itch.io/,magnum opus
tie,calchoo,https://kamical.itch.io/,magnum opus
bow,calchoo,https://kamical.itch.io/,magnum opus
miasma,calchoo,https://kamical.itch.io/,magnum opus
robot,calchoo,https://kamical.itch.io/,magnum opus
question,calchoo,https://kamical.itch.io/,magnum opus
keyboard,calchoo,https://kamical.itch.io/,magnum opus
mouse,calchoo,https://kamical.itch.io/,magnum opus
computer,calchoo,https://kamical.itch.io/,magnum opus
home,calchoo,https://kamical.itch.io/,magnum opus
house,calchoo,https://kamical.itch.io/,magnum opus
apartment,calchoo,https://kamical.itch.io/,magnum opus
curtain,calchoo,https://kamical.itch.io/,magnum opus
stand,calchoo,https://kamical.itch.io/,magnum opus
table,calchoo,https://kamical.itch.io/,magnum opus
clock,calchoo,https://kamical.itch.io/,magnum opus
lanyard,calchoo,https://kamical.itch.io/,magnum opus
figure,calchoo,https://kamical.itch.io/,magnum opus
dangerously,Erm i forgot the old handle,,I forgot my thoughts too
chair,Erm i forgot the old handle,,I forgot my thoughts too
pumpkin,Erm i forgot the old handle,,I forgot my thoughts too
pretentious,Erm i forgot the old handle,,I forgot my thoughts too
syzygy,Erm i forgot the old handle,,I forgot my thoughts too
i,uncredited,,No I don’t think
don’t,uncredited,,No I don’t think
know,uncredited,,No I don’t think
bodacious,Karpy,,glue
super,sun_sun,http://128.235.13.161,balls 2
flaps,sun_sun,http://128.235.13.161,balls 2
gaming,sun_sun,http://128.235.13.161,balls 2
house,sun_sun,http://128.235.13.161,balls 2
balls,sun_sun,http://128.235.13.161,balls 2
spunk,sun_sun,http://128.235.13.161,balls 2
member,sun_sun,http://128.235.13.161,balls 2
shaft,sun_sun,http://128.235.13.161,balls 2
seaman,sun_sun,http://128.235.13.161,balls 2
sailors,sun_sun,http://128.235.13.161,balls 2
load,sun_sun,http://128.235.13.161,balls 2
wack,sun_sun,http://128.235.13.161,balls 2
jerk,sun_sun,http://128.235.13.161,balls 2
throb,sun_sun,http://128.235.13.161,balls 2
frog,sun_sun,http://128.235.13.161,balls 2
hanky-panky,sun_sun,http://128.235.13.161,balls 2
slap,sun_sun,http://128.235.13.161,balls 2
spank,sun_sun,http://128.235.13.161,balls 2
stroke,sun_sun,http://128.235.13.161,balls 2
slime,sun_sun,http://128.235.13.161,balls 2
choke,sun_sun,http://128.235.13.161,balls 2
gag,sun_sun,http://128.235.13.161,balls 2
swallow,sun_sun,http://128.235.13.161,balls 2
slur,sun_sun,http://128.235.13.161,balls 2
frank,sun_sun,http://128.235.13.161,balls 2
weiner,sun_sun,http://128.235.13.161,balls 2
flapjack,sun_sun,http://128.235.13.161,balls 2
corndog,sun_sun,http://128.235.13.161,balls 2
weenie,sun_sun,http://128.235.13.161,balls 2
one-footer,sun_sun,http://128.235.13.161,balls 2
five-dollar-foot-long,sun_sun,http://128.235.13.161,balls 2
costco-hot-dog,sun_sun,http://128.235.13.161,balls 2
costco,sun_sun,http://128.235.13.161,balls 2
chicken-bake,sun_sun,http://128.235.13.161,balls 2
five-big-booms,sun_sun,http://128.235.13.161,balls 2
